DriverId,Driver,LapId,LapNumber,LapTime,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,Stint,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus
17,VER,43,43.0,0 days 00:01:23.081000,0 days 00:01:23.081000,0 days 00:00:28.878000,0 days 00:00:18.569000,0 days 00:00:35.634000,3.0,5.0,MEDIUM,9.0,,,1
17,VER,44,44.0,0 days 00:01:26.789000,0 days 00:01:26.789000,0 days 00:00:28.766000,0 days 00:00:18.154000,0 days 00:00:39.869000,1.0,5.0,MEDIUM,10.0,,,12
17,VER,45,45.0,0 days 00:01:32.874000,0 days 00:01:32.874000,0 days 00:00:29.993000,0 days 00:00:18.865000,0 days 00:00:44.016000,1.0,5.0,MEDIUM,11.0,,,21
17,VER,46,46.0,0 days 00:01:52.606000,0 days 00:01:52.606000,0 days 00:00:31.037000,0 days 00:00:19.186000,0 days 00:01:02.383000,5.0,5.0,MEDIUM,12.0,0 days 02:32:42.968000,,1
17,VER,47,47.0,0 days 00:02:07.213000,0 days 00:02:07.213000,0 days 00:00:40.700000,0 days 00:00:31.560000,0 days 00:00:54.953000,2.0,6.0,INTERMEDIATE,1.0,,0 days 02:33:01.788000,124
17,VER,48,48.0,0 days 00:02:02.406000,0 days 00:02:02.406000,0 days 00:00:38.909000,0 days 00:00:23.850000,0 days 00:00:59.647000,2.0,6.0,INTERMEDIATE,2.0,,,4
17,VER,49,49.0,0 days 00:02:24.892000,0 days 00:02:24.892000,0 days 00:00:51.981000,0 days 00:00:32.432000,0 days 00:01:00.479000,2.0,6.0,INTERMEDIATE,3.0,,,4
17,VER,50,50.0,0 days 00:02:22.085000,0 days 00:02:22.085000,0 days 00:00:52.682000,0 days 00:00:32.177000,0 days 00:00:57.226000,2.0,6.0,INTERMEDIATE,4.0,,,4
17,VER,51,51.0,0 days 00:02:13.879000,0 days 00:02:13.879000,0 days 00:00:47.272000,0 days 00:00:29.576000,0 days 00:00:57.031000,2.0,6.0,INTERMEDIATE,5.0,,,41
17,VER,52,52.0,0 days 00:01:33.864000,0 days 00:01:33.864000,0 days 00:00:34.079000,0 days 00:00:19.408000,0 days 00:00:40.377000,2.0,6.0,INTERMEDIATE,6.0,,,1
